"ISO3","National Unit","Name","Admin Level","Metric","Units","Year","Value"
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2015,68.56231601710002
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2016,65.34781435469999
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2017,56.8388169883
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2018,74.2322683038
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2019,71.172977703
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2020,61.029486045000006
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2021,74.265604302
"GHA","Ghana","Eastern","admin1","Access","in 100 people",2022,74.1867325811
"GHA","Ghana","Northern","admin1","Use","in 100 people",2010,15.425461899499998
"GHA","Ghana","Northern","admin1","Use","in 100 people",2011,33.4755902138
"GHA","Ghana","Northern","admin1","Use","in 100 people",2012,59.9546508456
"GHA","Ghana","Northern","admin1","Use","in 100 people",2013,53.95059180439999
"GHA","Ghana","Northern","admin1","Use","in 100 people",2014,37.21337637879999
"GHA","Ghana","Northern","admin1","Use","in 100 people",2015,39.2500634434
"GHA","Ghana","Northern","admin1","Use","in 100 people",2016,49.0632432825
"GHA","Ghana","Northern","admin1","Use","in 100 people",2017,48.3078766676
"GHA","Ghana","Northern","admin1","Use","in 100 people",2018,63.7999227537
"GHA","Ghana","Northern","admin1","Use","in 100 people",2019,55.854760298
"GHA","Ghana","Northern","admin1","Use","in 100 people",2020,42.1615514497
"GHA","Ghana","Northern","admin1","Use","in 100 people",2021,54.4412726325
"GHA","Ghana","Northern","admin1","Use","in 100 people",2022,54.0440783645
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2010,71.9295593467
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2011,77.52702410719999
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2012,84.6601163178
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2013,78.2356221903
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2014,65.41832886670001
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2015,61.2617999623
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2016,66.6696654801
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2017,66.400763016
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2018,75.407841741
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2019,72.16166429690001
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2020,66.91416555320001
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2021,72.2821675341
"GHA","Ghana","Northern","admin1","Use Rate","in 100 people",2022,72.99731890780001
"GHA","Ghana","Northern","admin1","Access","in 100 people",2010,20.8672005154
"GHA","Ghana","Northern","admin1","Access","in 100 people",2011,41.4907227487
"GHA","Ghana","Northern","admin1","Access","in 100 people",2012,69.4778212715
"GHA","Ghana","Northern","admin1","Access","in 100 people",2013,67.55092157119999
"GHA","Ghana","Northern","admin1","Access","in 100 people",2014,55.5845059319
"GHA","Ghana","Northern","admin1","Access","in 100 people",2015,62.451403538099996
"GHA","Ghana","Northern","admin1","Access","in 100 people",2016,72.53064444290001
"GHA","Ghana","Northern","admin1","Access","in 100 people",2017,71.8784210983
"GHA","Ghana","Northern","admin1","Access","in 100 people",2018,83.3841277882
"GHA","Ghana","Northern","admin1","Access","in 100 people",2019,76.7791805517
"GHA","Ghana","Northern","admin1","Access","in 100 people",2020,62.117657241
"GHA","Ghana","Northern","admin1","Access","in 100 people",2021,72.94403867209999
"GHA","Ghana","Northern","admin1","Access","in 100 people",2022,72.363020092
"GHA","Ghana","Volta","admin1","Use","in 100 people",2010,15.929413391899999
"GHA","Ghana","Volta","admin1","Use","in 100 people",2011,28.062792397000003
"GHA","Ghana","Volta","admin1","Use","in 100 people",2012,46.6388735945
"GHA","Ghana","Volta","admin1","Use","in 100 people",2013,48.642755819899996
"GHA","Ghana","Volta","admin1","Use","in 100 people",2014,48.4413638665
"GHA","Ghana","Volta","admin1","Use","in 100 people",2015,48.8653818133
"GHA","Ghana","Volta","admin1","Use","in 100 people",2016,41.439197101
"GHA","Ghana","Volta","admin1","Use","in 100 people",2017,35.111833071099994
"GHA","Ghana","Volta","admin1","Use","in 100 people",2018,57.35619150729999
"GHA","Ghana","Volta","admin1","Use","in 100 people",2019,55.7210227406
"GHA","Ghana","Volta","admin1","Use","in 100 people",2020,44.365117686000005
"GHA","Ghana","Volta","admin1","Use","in 100 people",2021,58.081855520699996
"GHA","Ghana","Volta","admin1","Use","in 100 people",2022,57.434158691899995
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2010,79.16732572560001
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2011,86.94636989620001
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2012,91.8603113954
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2013,87.26519252279999
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2014,75.4684949636
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2015,65.8835045652
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2016,58.753065584
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2017,57.8042400298
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2018,75.4706220194
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2019,74.5686664556
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2020,62.79311597689999
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2021,68.89748697499999
"GHA","Ghana","Volta","admin1","Use Rate","in 100 people",2022,68.0839645222
"GHA","Ghana","Volta","admin1","Access","in 100 people",2010,19.7234784071
"GHA","Ghana","Volta","admin1","Access","in 100 people",2011,31.196538475399997
"GHA","Ghana","Volta","admin1","Access","in 100 people",2012,49.7300282451
"GHA","Ghana","Volta","admin1","Access","in 100 people",2013,55.05546708720001
"GHA","Ghana","Volta","admin1","Access","in 100 people",2014,63.7573440442
"GHA","Ghana","Volta","admin1","Access","in 100 people",2015,73.3682257262
"GHA","Ghana","Volta","admin1","Access","in 100 people",2016,69.1995044534
"GHA","Ghana","Volta","admin1","Access","in 100 people",2017,60.056802141800006
"GHA","Ghana","Volta","admin1","Access","in 100 people",2018,75.0982182389
"GHA","Ghana","Volta","admin1","Access","in 100 people",2019,74.5676261358
"GHA","Ghana","Volta","admin1","Access","in 100 people",2020,69.2745010212
"GHA","Ghana","Volta","admin1","Access","in 100 people",2021,81.74860882610001
"GHA","Ghana","Volta","admin1","Access","in 100 people",2022,81.89964172319999
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2010,10.701217709
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2011,21.090213337900003
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2012,32.2379433845
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2013,25.9767149068
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2014,18.1707164532
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2015,18.743238267000002
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2016,20.568234958799998
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2017,15.844486001
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2018,24.0685799873
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2019,20.0415395068
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2020,18.507050196999998
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2021,35.132865166900004
"GHA","Ghana","Greater Accra","admin1","Use","in 100 people",2022,35.7987913876
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2010,51.743190880300006
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2011,61.302018397000005
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2012,67.5788232239
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2013,56.2753020711
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2014,37.062102884999995
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2015,30.9997122613
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2016,34.7139040716
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2017,32.998533667000004
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2018,38.0047491186
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2019,34.9671414185
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2020,34.7565892193
"GHA","Ghana","Greater Accra","admin1","Use Rate","in 100 people",2021,47.5677865482
